"FINAL_ID","PHYLUM","CLASS","ORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","GENUS_SPECIES","FEEDINGHAB","TOLERANCE","NBI_P_TOLERANCE","NBI_N_TOLERANCE","TOLNAME","CLASSIFIER","PREVNAMES","COMMONNAME","REFERENCE"
"TANYTARSUS_GUERLUS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSUS","TANYTARSUS_GUERLUS","TANYTARSUS GUERLUS GR.","C-F",6,5,5,"FACULTATIVE","CHIRONOMIDAE","TANYTARSUS SP. 6","MIDGE","87"
"TANYTARSUS_SP._O","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSUS","TANYTARSUS","TANYTARSUS SP. O","C-F",6,NA,NA,"FACULTATIVE","CHIRONOMIDAE",NA,"MIDGE","36"
"EPEORUS_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","EPEORUS","EPEORUS","EPEORUS SP.","SCR",0,NA,NA,"INTOLERANT","EPHEMEROPTERA",NA,"MAYFLY","83"
"HEPTAGENIA_CULACANTHA","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIA","HEPTAGENIA_CULACANTHA","HEPTAGENIA CULACANTHA","SCR",2,NA,NA,"INTOLERAT","EPHEMEROPTERA","HEPTAGENIA SP. 3, CINYGMA SP., STENONEMA SP. 3","MAYFLY","83,38"
"HEPTAGENIA_FLAVESCENS","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIA","HEPTAGENIA_FLAVESCENS","HEPTAGENIA FLAVESCENS","SCR",4,NA,NA,"INTOLERANT","EPHEMEROPTERA",NA,"MAYFLY","83,24"
"HEPTAGENIA_MARGINALIS","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIA","HEPTAGENIA","HEPTAGENIA MARGINALIS","SCR",4,NA,NA,"INTOLERANT","EPHEMEROPTERA",NA,"MAYFLY","83,24"
"HEPTAGENIA_PULLA_GR.","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIA","HEPTAGENIA_PULLA","HEPTAGENIA PULLA GR.","SCR",4,NA,NA,"INTOLERANT","EPHEMEROPTERA",NA,"MAYFLY","83,24"
"HEPTAGENIA_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","HEPTAGENIA","HEPTAGENIA","HEPTAGENIA SP.","SCR",4,0,0,"INTOLERANT","EPHEMEROPTERA",NA,"MAYFLY","83"
"LEUCROCUTA_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","LEUCROCUTA","LEUCROCUTA","LEUCROCUTA SP.","SCR",1,1,3,"INTOLERANT","EPHEMEROPTERA","HEPTAGENIA JUNO","MAYFLY","83,43"
"NIXE_(NIXE)_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","NIXE","NIXE","NIXE (NIXE) SP.","SCR",2,1,5,"INTOLERANT","EPHEMEROPTERA",NA,"MAYFLY","83,43"
