GENSPECIES,Family
Tanypus sp.,Chironomidae
Tanypus stellatus,Chironomidae
Tanytarsus brundini,Chironomidae
Tanytarsus curticornis gr.,Chironomidae
Tanytarsus eminulus gr.,Chironomidae
Tanytarsus glabrescens gr.,Chironomidae
Tanytarsus guerlus gr.,Chironomidae
Tanytarsus sp.,Chironomidae
Tanytarsus sp. O,Chironomidae
Telopelopia okoboji,Chironomidae
Telopelopia sp.,Chironomidae
Thienemanniella lobapodema,Chironomidae
Thienemanniella sp.,Chironomidae
Thienemanniella xena,Chironomidae
Thienemannimyia gr. spp.,Chironomidae
Thienemannimyia norena,Chironomidae
Thienemannimyia sp.,Chironomidae
Tribelos atrum,Chironomidae
Tribelos fuscicorne,Chironomidae
Tribelos jucundum,Chironomidae
Tribelos sp.,Chironomidae
Tribelos/Endochironomus/Phaenopsectra Co,Chironomidae
Trissocladius sp.,Chironomidae
Trissopelopia ogemawi,Chironomidae
Trissopelopia sp.,Chironomidae
Tvetenia bavarica gr.,Chironomidae
Tvetenia sp.,Chironomidae
Tvetenia vitracies,Chironomidae
Undetermined Chironomidae,Chironomidae
Undetermined Chironominae,Chironomidae
Undetermined Chironomini,Chironomidae
Undetermined Diamesinae,Chironomidae
Undetermined Orthocladiinae,Chironomidae
Undetermined Prodiamesinae,Chironomidae
Undetermined Tanypodinae,Chironomidae
Undetermined Tanytarsini,Chironomidae
Unniella multivirga,Chironomidae
Unniella sp.,Chironomidae
Xenochironomus sp.,Chironomidae
Xenochironomus xenolabis,Chironomidae
Xylotopus par,Chironomidae
Xylotopus sp.,Chironomidae
Zalutschia sp.,Chironomidae
Zalutschia zalutschicola,Chironomidae
Zavrelia sp.,Chironomidae
Zavreliella sp.,Chironomidae
Zavrelimyia sinuosa,Chironomidae
Zavrelimyia sp.,Chironomidae
Chironomus decorus gr.,Chironomus
Chironomus riparius gr.,Chironomus
Chironomus sp.,Chironomus
Alloperla sp.,Chloroperlidae
Haploperla brevis,Chloroperlidae
Haploperla sp.,Chloroperlidae
Rasvena sp.,Chloroperlidae
Rasvena terna,Chloroperlidae
Suwallia marginata,Chloroperlidae
Sweltsa sp.,Chloroperlidae
Undetermined Chloroperlidae,Chloroperlidae
Argia moesta,Coenagrionidae
Argia sp.,Coenagrionidae
Chromagrion sp.,Coenagrionidae
Enallagma sp.,Coenagrionidae
Ischnura sp.,Coenagrionidae
Ischnura sp. 1,Coenagrionidae
Ischnura sp. 2,Coenagrionidae
Ischnura sp. 3,Coenagrionidae
Ischnura sp. 4,Coenagrionidae
Ischnura sp. 5,Coenagrionidae
Undetermined Coenagrionidae,Coenagrionidae
Cordulegaster maculata,Cordulegastridae
Cordulegaster sp.,Cordulegastridae
Undetermined Cordulegastridae,Cordulegastridae
Neurocordulia sp.,Corduliidae
Undetermined Corduliidae,Corduliidae
Hesperocorixa sp.,Corixidae
Undetermined Corixidae,Corixidae
Chauliodes sp.,Corydalidae
Corydalus cornutus,Corydalidae
