"WA_SAMPLE_ID","WA_ASSESSMENT"
"42.0673_-74.1601_20160925","no conclusion"
"42.0714_-76.7754_20160713","no conclusion"
"42.0745_-76.9403_20180717","no conclusion"
"42.0754_-74.1257_20150926","no conclusion"
"42.0755_-75.622_20160927","no conclusion"
"42.0781_-74.336_20120816","no known impact"
"42.0781_-74.336_20120831","no known impact"
"42.0803_-73.9383_20150926","possibly impaired"
"42.0804_-75.64_20160927","no conclusion"
"42.081_-74.3326_20120914","no conclusion"
"42.0814_-76.7798_20160713","possibly impaired"
"42.0814_-76.7798_20170815","no conclusion"
"42.0828_-79.6864_20140908","no conclusion"
"42.083_-79.225_20180802","no conclusion"
"42.0856_-74.1787_20160922","no known impact"
"42.086_-76.6914_20160817","no conclusion"
"42.0869_-76.8659_20170816","no known impact"
"42.0884_-73.9768_20140907","no conclusion"
"42.0897_-76.0538_20170828","possibly impaired"
"42.0922_-76.5474_20170824","no known impact"
"42.0923_-76.0135_20150715","no conclusion"
"42.0924_-76.5474_20160723","no known impact"
"42.0938_-79.2407_20160722","no conclusion"
"42.094_-79.2307_20160729","no conclusion"
"42.1014_-76.0251_20170828","no conclusion"
"42.1048_-76.9219_20170817","no known impact"
"42.1076_-73.9496_20120909","no conclusion"
"42.112_-79.217_20160803","no conclusion"
"42.1132_-73.5634_20160925","no conclusion"
"42.1148_-74.0548_20130904","no known impact"
"42.1156_-76.5475_20160918","no conclusion"
"42.116_-76.8646_20170730","no conclusion"
"42.1173_-77.9433_20150929","no known impact"
"42.1185_-79.1939_20160722","no conclusion"
"42.1186_-79.0839_20150701","no known impact"
"42.1211_-74.3987_20120921","no known impact"
"42.122_-73.7198_20120702","no conclusion"
"42.123_-74.0211_20130814","no known impact"
"42.1236_-73.7214_20140728","no known impact"
"42.1236_-73.7214_20150801","no known impact"
"42.1236_-73.7214_20160715","no known impact"
"42.1239_-74.3991_20120829","no conclusion"
"42.1239_-74.3991_20120831","no known impact"
"42.1247_-75.672_20170907","no conclusion"
"42.1258_-74.9439_20130721","no conclusion"
"42.1352_-73.8912_20130909","no conclusion"
"42.1359_-76.8602_20180717","no conclusion"
"42.1369_-74.6892_20130825","no conclusion"
"42.139_-75.9417_20170911","no conclusion"
"42.1399_-75.8938_20170801","no conclusion"
"42.1399_-75.8938_20180809","no conclusion"
"42.1399_-75.8938_20190724","no conclusion"
"42.1404_-75.8949_20170905","no conclusion"
"42.1423_-76.7658_20180717","no conclusion"
"42.1448_-75.9106_20170727","no conclusion"
"42.1459_-76.8078_20170805","no conclusion"
"42.1495_-77.819_20150919","no known impact"
"42.15_-73.8752_20130909","no conclusion"
"42.151_-74.5191_20140711","no known impact"
"42.1517_-76.8903_20171003","no conclusion"
"42.152_-74.1311_20160728","no known impact"
"42.154_-78.1256_20130908","no known impact"
"42.1541_-73.5204_20160930","no known impact"
"42.1548_-75.1652_20150925","no known impact"
"42.1553_-74.533_20140708","no conclusion"
"42.157_-77.8019_20150919","no known impact"
"42.1583_-74.5208_20140711","no known impact"
"42.1584_-79.5954_20140715","no conclusion"
"42.1588_-75.1123_20150917","no known impact"
"42.1591_-74.5563_20140708","no known impact"
"42.1691_-74.1502_20160719","no known impact"
"42.17_-73.5196_20140720","no conclusion"
"42.1716_-74.148_20160709","no known impact"
"42.172_-74.019_20120902","no conclusion"
"42.172_-74.019_20120907","no known impact"
"42.172_-73.5156_20140703","no conclusion"
"42.172_-73.5156_20160925","no conclusion"
"42.1722_-76.7337_20171003","no conclusion"
"42.176_-75.2792_20130923","no known impact"
"42.1777_-73.5705_20140703","no conclusion"
"42.1777_-73.5705_20150711","no conclusion"
"42.1777_-73.5705_20130719","no conclusion"
"42.1777_-73.5705_20130807","no conclusion"
"42.1806_-75.6223_20150718","no known impact"
"42.1812_-74.5973_20180916","no known impact"
"42.1812_-74.1967_20170729","no known impact"
"42.1816_-74.2043_20140630","no conclusion"
"42.1824_-75.0128_20150914","no conclusion"
"42.1864_-76.7297_20180717","no conclusion"
"42.1864_-73.4936_20180923","no conclusion"
"42.1876_-73.5736_20180930","no conclusion"
"42.1899_-74.9966_20150915","no conclusion"
"42.1903_-74.1879_20150929","no conclusion"
"42.1912_-76.058_20170701","no conclusion"
"42.1921_-75.6186_20150731","no known impact"
"42.1926_-75.9023_20170701","no known impact"
"42.1931_-73.5802_20180923","no conclusion"
"42.1947_-74.092_20120930","no conclusion"
"42.1953_-74.0548_20120930","no conclusion"
"42.1953_-74.0548_20120930","no conclusion"
"42.1962_-73.7395_20140808","no conclusion"
"42.1967_-75.656_20150716","no known impact"
"42.1974_-73.9427_20140722","no conclusion"
"42.1974_-73.5014_20160925","no conclusion"
"42.1977_-75.6559_20150710","no known impact"
"42.2009_-79.1497_20140711","no known impact"
"42.2023_-76.9912_20160919","no known impact"
"42.2047_-73.9746_20140722","no conclusion"
"42.2048_-75.2755_20140922","no known impact"
"42.2048_-75.2739_20150923","no known impact"
"42.2055_-75.2753_20170925","no known impact"
"42.2153_-76.0397_20190709","no known impact"
"42.221_-79.053_20170701","no known impact"
"42.2249_-75.1642_20130914","no known impact"
"42.2258_-75.9158_20150723","no known impact"
"42.2278_-74.4735_20180707","no conclusion"
"42.2315_-75.5263_20150723","no known impact"
"42.2323_-73.6898_20160708","no known impact"
"42.2326_-76.8414_20160817","no conclusion"
"42.2326_-73.6898_20120702","no conclusion"
"42.2326_-73.6898_20140720","no conclusion"
"42.2326_-73.6898_20150810","no conclusion"
"42.2328_-74.1296_20170721","no conclusion"
"42.2338_-74.1296_20150915","no conclusion"
"42.2368_-74.0114_20120819","no conclusion"
"42.2373_-74.1142_20130820","no conclusion"
"42.2376_-74.1469_20170728","no known impact"
"42.2376_-74.1468_20150916","no known impact"
"42.2376_-74.1468_20140917","no known impact"
"42.2478_-73.6553_20120914","no known impact"
"42.2485_-74.3031_20140823","no conclusion"
"42.2485_-74.3031_20150929","no conclusion"
"42.2488_-74.3029_20170818","no conclusion"
"42.2582_-75.7668_20170802","no known impact"
"42.2685_-77.76_20170803","no conclusion"
"42.2735_-75.7427_20170712","no conclusion"
"42.2737_-76.8379_20171003","no conclusion"
"42.2805_-73.7114_20140808","no conclusion"
"42.2805_-73.7114_20150814","no conclusion"
"42.2848_-75.8892_20180821","no conclusion"
"42.2848_-75.8892_20170828","no known impact"
"42.2848_-75.8892_20190910","no known impact"
"42.2891_-77.7477_20160928","no conclusion"
"42.2901_-75.212_20170710","no known impact"
"42.2933_-74.1332_20170829","no known impact"
"42.2985_-76.7163_20170706","no known impact"
"42.2992_-79.0986_20150830","no conclusion"
"42.3023_-74.561_20130808","no known impact"
"42.3059_-79.5784_20140701","no known impact"
"42.306_-75.5362_20170920","no known impact"
"42.306_-75.5362_20160927","no known impact"
"42.3062_-75.5362_20150904","no known impact"
"42.3086_-79.5735_20140712","no conclusion"
"42.3086_-79.5735_20140812","no conclusion"
"42.3124_-78.0376_20130901","no conclusion"
"42.3131_-74.7208_20130831","no conclusion"
"42.3138_-76.6497_20170702","no conclusion"
"42.3164_-76.7133_20170713","no conclusion"
"42.3211_-75.1833_20170701","no known impact"
"42.3226_-74.0915_20120811","no conclusion"
"42.3249_-77.5513_20130818","no conclusion"
"42.3311_-79.5681_20140912","no conclusion"
"42.3318_-75.1758_20170930","no known impact"
"42.3327_-75.2877_20170919","no known impact"
"42.3357_-73.4322_20150724","no known impact"
"42.3372_-76.7872_20180927","no conclusion"
"42.3374_-76.8377_20150908","no known impact"
"42.3379_-74.451_20180725","no known impact"
"42.3396_-73.6267_20140701","no conclusion"
"42.3396_-73.6267_20150711","no conclusion"
"42.3396_-73.6267_20160701","no conclusion"
"42.3397_-74.0784_20130926","no known impact"
"42.3451_-75.0538_20170927","no known impact"
"42.3513_-75.9684_20170809","no conclusion"
"42.355_-77.9198_20130901","no conclusion"
"42.3676_-75.127_20170929","no known impact"
"42.3684_-73.6032_20120702","no conclusion"
"42.3685_-76.7183_20170928","no conclusion"
"42.3687_-76.9012_20160727","no known impact"
"42.3689_-73.7179_20140822","no conclusion"
"42.369_-78.14_20130915","no conclusion"
"42.3707_-73.6079_20150720","no conclusion"
"42.3707_-73.6079_20140726","no conclusion"
"42.3707_-73.6079_20160702","no known impact"
"42.3716_-73.5923_20140808","no conclusion"
"42.3729_-73.6565_20140822","no conclusion"
"42.375_-76.8731_20160727","no known impact"
"42.3774_-73.4292_20150724","no known impact"
"42.3896_-73.5511_20120702","no known impact"
"42.3896_-73.5511_20120713","no known impact"
"42.3902_-75.0744_20170928","no known impact"
"42.3981_-76.5467_20160527","no known impact"
"42.4079_-73.6804_20150714","no known impact"
"42.4079_-73.6804_20140729","no conclusion"
"42.4079_-73.6804_20160702","no conclusion"
"42.4089_-74.4608_20150729","no conclusion"
"42.4095_-73.522_20120709","no known impact"
"42.412_-73.4489_20140808","no conclusion"
"42.4125_-73.6808_20150912","no conclusion"
"42.4141_-76.5303_20150725","no known impact"
"42.4194_-76.8493_20170725","no known impact"
"42.4195_-76.4653_20160902","no known impact"
"42.4228_-74.2177_20130920","no known impact"
"42.4231_-76.5237_20150926","no known impact"
"42.4236_-76.2031_20160919","no known impact"
"42.4275_-76.2245_20160921","no known impact"
"42.4284_-77.431_20160911","no known impact"
"42.4295_-74.4584_20150729","no conclusion"
"42.4313_-74.4673_20150728","no known impact"
"42.432_-74.4628_20140722","no conclusion"
"42.4331_-74.4573_20140722","no conclusion"
"42.4334_-77.4559_20160919","no known impact"
"42.434_-77.4555_20160829","no conclusion"
"42.4421_-76.0333_20150720","no known impact"
"42.4457_-74.9202_20170729","no known impact"
"42.447_-74.7586_20130925","no known impact"
"42.4479_-76.502_20150705","no conclusion"
"42.4518_-75.0159_20170708","no conclusion"
"42.4628_-73.8478_20150922","no known impact"
"42.4644_-75.0546_20170707","no conclusion"
"42.4647_-73.7697_20130823","no conclusion"
"42.465_-73.7922_20160705","possibly impaired"
"42.4667_-75.0504_20170705","no conclusion"
"42.4683_-79.1808_20140825","no conclusion"
"42.4685_-75.9114_20150904","no known impact"
"42.4709_-73.8676_20160726","no conclusion"
"42.4747_-73.6314_20140731","no known impact"
"42.4747_-73.6314_20150913","no conclusion"
"42.4747_-73.6314_20160701","no conclusion"
"42.4764_-73.7932_20160726","possibly impaired"
"42.4779_-73.794_20130925","no conclusion"
"42.4814_-74.0327_20160714","dry"
"42.4822_-79.3055_20140806","possibly impaired"
"42.4822_-79.3055_20140914","no conclusion"
"42.4822_-79.3055_20140914","no conclusion"
"42.485_-74.2677_20130920","no known impact"
"42.4903_-76.9143_20160705","no known impact"
"42.4945_-73.4474_20140811","no conclusion"
"42.4945_-73.4474_20150912","no known impact"
"42.4947_-73.4473_20160710","no conclusion"
"42.4953_-75.0454_20160701","no known impact"
"42.4989_-74.0204_20160714","dry"
"42.4996_-74.2923_20130920","no known impact"
"42.4997_-75.185_20170702","no conclusion"
"42.5009_-74.031_20160819","no conclusion"
"42.5042_-73.6177_20140802","no known impact"
"42.5042_-73.6177_20150810","no known impact"
"42.5042_-73.6177_20160701","no conclusion"
"42.5053_-73.7353_20120826","no conclusion"
"42.5056_-73.5064_20140811","no known impact"
"42.5056_-73.5064_20150823","no conclusion"
"42.5056_-73.5064_20160727","no conclusion"
"42.5082_-73.5087_20120730","no conclusion"
"42.5082_-73.5087_20160727","no known impact"
"42.5096_-73.516_20140704","no conclusion"
"42.5096_-73.516_20150905","no known impact"
"42.5096_-73.516_20160710","no known impact"
